球隊英文全名,球隊英文縮寫,球隊中文名字,球隊中文縮寫,球隊主色色號,球隊輔色色號
Detroit Pistons,DET,底特律活塞,活塞,#C8102E,#1D42BA
Indiana Pacers,IND,印第安納溜馬,溜馬,#002D62,#FDBB30
Atlanta Hawks,ATL,亞特蘭大老鷹,老鷹,#E03A3E,#C1D32F
Boston Celtics,BOS,波士頓塞爾提克,塞爾提克,#007A33,#BA9653
Orlando Magic,ORL,奧蘭多魔術,魔術,#0077C0,#C4CED4
Denver Nuggets,DEN,丹佛金塊,金塊,#0E2240,#FEC524
Utah Jazz,UTAH,猶他爵士,爵士,#002B5C,#F9A01B
New Orleans Pelicans,NO,紐奧良鵜鶘,鵜鶘,#0C2340,#C8102E
Memphis Grizzlies,MEM,曼菲斯灰熊,灰熊,#5D76A9,#12173F
Chicago Bulls,CHI,芝加哥公牛,公牛,#CE1141,#000000
Brooklyn Nets,BKN,布魯克林籃網,籃網,#000000,#FFFFFF
New York Knicks,NY,紐約尼克,尼克,#006BB6,#F58426
Houston Rockets,HOU,休士頓火箭,火箭,#CE1141,#000000
Cleveland Cavaliers,CLE,克里夫蘭騎士,騎士,#860038,#FDBB30
Toronto Raptors,TOR,多倫多暴龍,暴龍,#CE1141,#000000
Dallas Mavericks,DAL,達拉斯獨行俠,獨行俠,#00538C,#B8C4CA
Miami Heat,MIA,邁阿密熱火,熱火,#98002E,#F9A01B
Charlotte Hornets,CHA,夏洛特黃蜂,黃蜂,#1D1160,#00788C
Phoenix Suns,PHX,鳳凰城太陽,太陽,#1D1160,#E56020
Washington Wizards,WSH,華盛頓巫師,巫師,#002B5C,#E31837
San Antonio Spurs,SA,聖安東尼奧馬刺,馬刺,#C4CED4,#000000
Golden State Warriors,GS,金州勇士,勇士,#1D428A,#FFC72C
Minnesota Timberwolves,MIN,明尼蘇達灰狼,灰狼,#0C2340,#236192
Portland Trail Blazers,POR,波特蘭拓荒者,拓荒者,#E03A3E,#000000
Milwaukee Bucks,MIL,密爾瓦基公鹿,公鹿,#00471B,#EEE1C6
Los Angeles Clippers,LAC,洛杉磯快艇,快艇,#C8102E,#1D428A
Los Angeles Lakers,LAL,洛杉磯湖人,湖人,#552583,#FDB927
Philadelphia 76ers,PHI,費城76人,76人,#006BB6,#ED174C
Sacramento Kings,SAC,沙加緬度國王,國王,#5A2D81,#63727A
Oklahoma City Thunder,OKC,奧克拉荷馬城雷霆,雷霆,#007AC1,#EF3B24
Team LeBron,LEB, ,LEB,#fcba03,#0a34f0
Team Durant,DUR, ,DUR,#0a34f0,#fcba03
